"","game_id_string","year_released","romhack","number_platforms","genre","developer","publisher","discord","require_video","emulators_allowed","number_of_runs"
"225","j1lzzj6g","2014","FALSE","8",NA,NA,NA,"TRUE","TRUE","FALSE","355"
"226","j1n29w1p","2014","FALSE","5","q274q12l","leqvy2zw","d6j2v7np","TRUE","TRUE","FALSE","4910"
"227","j1n5yx1p","2017","FALSE","5","4n6307n9","k62xj7zx",NA,"TRUE","TRUE","FALSE","647"
"228","j1n89ry1","2019","FALSE","1",NA,"ge0lxpep",NA,"TRUE","TRUE","FALSE","113"
"229","j1n8ekw1","2020","TRUE","1",NA,"4ep2yd6r",NA,"TRUE","TRUE","TRUE","336"
"230","j1n8mox1","2021","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","35"
"231","j1n8ow1p","1999","FALSE","3",NA,NA,NA,"TRUE","FALSE","TRUE","626"
"232","j1n8q9l1","2022","FALSE","1","94n4pn0w","qe53wp6v","060w0yrl","TRUE","TRUE","FALSE","301"
"233","j1ne2y1p","2005","FALSE","4","pm21pl24","5mzn3oer","qkr2jne4","TRUE","TRUE","TRUE","548"
"234","j1ne35y1","2019","TRUE","1",NA,NA,NA,"TRUE","TRUE","TRUE","16"
"235","j1ne4y91","2018","FALSE","1",NA,NA,NA,"TRUE","FALSE","FALSE","1054"
"236","j1ne50e1","2015","TRUE","1",NA,NA,NA,"TRUE","TRUE","TRUE","261"
"237","j1ne85l1","2002","FALSE","1","oy5gp5e3",NA,NA,"TRUE","TRUE","TRUE","435"
"238","j1ne9el1","2011","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","92"
"239","j1neozx1","2020","FALSE","9","pm21pl24","myzo72eq","qkr2jne4","TRUE","TRUE","FALSE","3923"
"240","j1new3l1","2020","FALSE","5","l28mxr5r","jevwg26k","dq6dqnze","TRUE","TRUE","FALSE","58"
"241","j1nexne1","2019","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","45"
"242","j1ney91p","2014","FALSE","8","jp23x26k","5yz8oxew","93nkvz6w","TRUE","TRUE","TRUE","126"
"243","j1ng5w6p","1993","FALSE","27","el286onr","ynzm5ge0","19neqqn5","TRUE","TRUE","TRUE","520"
"244","j1ngme6p","2004","FALSE","4","vx5ey1n4","4nel5vz2","w4npw2rl","TRUE","TRUE","TRUE","234"
"245","j1njxw6p","2008","FALSE","2",NA,NA,NA,"TRUE","FALSE","TRUE","42"
"246","j1nkpx1p","2015","TRUE","2","wr2l1n7p","qe5j1kzv","4dnl846l","TRUE","FALSE","TRUE","419"
"247","j1nl9ydp","2007","TRUE","0",NA,NA,NA,"TRUE","TRUE","TRUE","60"
"248","j1nm8w6p","2013","FALSE","3","q4n660n9","7pe143eo","w4npjdnl","TRUE","TRUE","FALSE","587"
"249","j1npme6p","2011","FALSE","1","q4n60ln9","k62d97ex",NA,"TRUE","TRUE","FALSE","10000"
